# TODO(content-review): AI 생성 초안 — human review 필요
# 형식: docs/plans/p3-grammar.md §4~5 및 generate_grammar_seed.py spec 참조
# topic: slug | 제목(한국어) | CEFR | tags(콤마구분) | 설명(2~3문장 한국어)
# 문항: type | prompt | payload | explanation(한국어 1~2문장)
#   word_order  payload = 정답 영어 문장 (칩은 공백 분리, 끝 구두점은 answer에만 유지)
#   blank_choice/error_find payload = 보기1;보기2;...=정답보기

topic: present-perfect | 현재완료 | A2 | tense | 과거에 시작해 지금까지 이어지거나 영향을 주는 일은 현재완료(have/has + p.p.)로 나타낸다. 기간은 for, 시점은 since와 함께 쓰고, 구체적 과거 시점(yesterday 등)과는 함께 쓰지 않는다.
word_order | 그는 여기서 5년째 일해 왔다. | He has worked here for five years. | has worked — 현재완료 + for + 기간으로 지속을 나타낸다.
word_order | 나는 그 영화를 이미 봤다. | I have already seen that movie. | already는 have와 과거분사 사이에 놓는다.
word_order | 우리는 2020년부터 서울에 살았다. | We have lived in Seoul since 2020. | since + 시작 시점은 현재완료와 함께 쓴다.
blank_choice | She ___ finished the report. | has;have;had=has | 3인칭 단수 주어 She에는 has를 쓴다.
blank_choice | I have lived here ___ ten years. | since;for;from=for | 기간(ten years) 앞에는 for를 쓴다.
blank_choice | They have ___ arrived at the airport. | yet;just;ago=just | just는 '방금'의 의미로 현재완료와 자연스럽다. ago는 과거시제와만 쓴다.
blank_choice | Have you ___ been to Japan? | ever;already;since=ever | 의문문에서 '~한 적 있니'는 ever를 쓴다.
error_find | 틀린 부분을 고르세요: She have finished the work. | She;have;finished;the work=have | 주어가 3인칭 단수이므로 have가 아니라 has를 써야 한다.
error_find | 틀린 부분을 고르세요: I have seen him yesterday. | I;have seen;him;yesterday=yesterday | 구체적 과거 시점 yesterday는 현재완료와 함께 쓸 수 없다.
error_find | 틀린 부분을 고르세요: We have lived here since five years. | We;have lived;here;since five years=since five years | 기간 five years 앞에는 since가 아니라 for를 써야 한다.

topic: past-simple | 과거시제 | A2 | tense | 이미 끝난 과거의 동작이나 상태는 과거시제로 나타낸다. 규칙 동사는 -ed를 붙이고, 의문문과 부정문에서는 did를 쓰며 본동사는 원형으로 돌아간다.
word_order | 나는 어제 새 노트북을 샀다. | I bought a new laptop yesterday. | buy의 과거형은 bought이고, yesterday로 과거 시점을 명시한다.
word_order | 그들은 지난주에 회의에 참석했다. | They attended the meeting last week. | 규칙동사 attend의 과거형 attended를 쓴다.
word_order | 그녀는 2시간 전에 떠났다. | She left two hours ago. | leave의 과거형 left와 ago는 과거시제와 함께 쓴다.
word_order | 우리는 그 식당에서 점심을 먹지 않았다. | We did not have lunch there. | 부정문은 did not + 동사원형(have)으로 만든다.
blank_choice | He ___ to the office early yesterday. | went;goes;has gone=went | yesterday가 있으므로 과거시제 went를 쓴다.
blank_choice | They ___ not finish the project on time. | did;do;were=did | 일반동사 부정의 과거형은 did not이다.
blank_choice | Did you ___ the email this morning? | send;sent;sending=send | did 다음에는 동사원형 send를 쓴다.
blank_choice | The store ___ at nine last night. | closed;closes;close=closed | 과거 시점(last night)이므로 과거형 closed를 쓴다.
error_find | 틀린 부분을 고르세요: She buyed a ticket last Friday. | She;buyed;a ticket;last Friday=buyed | buy는 불규칙동사로 과거형이 bought이다.
error_find | 틀린 부분을 고르세요: We did went home after work. | We;did;went;home=went | did가 있으면 본동사는 원형 go를 써야 한다.

topic: articles | 관사 a/an/the | A2 | grammar-articles | 처음 언급하는 셀 수 있는 단수 명사 앞에는 부정관사 a/an을, 특정한 것을 가리킬 때는 정관사 the를 쓴다. 모음 소리로 시작하는 단어 앞에는 an을 쓴다.
word_order | 그녀는 한 시간 안에 보고서를 끝냈다. | She finished the report in an hour. | an hour는 h가 묵음이라 모음 소리로 시작해 an을 쓴다.
word_order | 그는 정직한 직원을 찾고 있다. | He is looking for an honest employee. | honest는 h가 묵음이므로 an을 쓴다.
word_order | 그 책은 내 책상 위에 있다. | The book is on my desk. | 특정한 책을 가리키므로 the를 쓴다.
blank_choice | I bought ___ umbrella this morning. | an;a;the=an | umbrella는 모음 소리로 시작하므로 an을 쓴다.
blank_choice | She is ___ university student in London. | a;an;the=a | university는 발음이 '유'로 자음 소리라서 a를 쓴다.
blank_choice | Can you pass me ___ salt, please? | the;a;an=the | 식탁 위의 특정 소금을 가리키므로 the를 쓴다.
blank_choice | He works as ___ engineer at a startup. | an;a;the=an | engineer는 모음 소리로 시작하므로 an을 쓴다.
